Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations,year,Participant Gender,Participant Name,Participant Age Group,# Casualties,Latitude,Longitude,Day Name,Month
2018-02-24,West Virginia,Charleston,,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.7884363,-79.9399309,Saturday,February
2018-02-24,Ohio,Cincinnati,Hamilton Ave and Roosevelt Ave,3.0,0.0,0.0,0.0,0.0,,2018,,,,3.0,39.1014537,-84.5124602,Saturday,February
2018-02-25,Illinois,Chicago,4700 W North Ave,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,41.8755616,-87.6244212,Sunday,February
2018-02-25,California,Sylmar,I-210 and CA-118,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,34.3076252,-118.4492148,Sunday,February
2018-02-26,New York,Brooklyn,8221 Flatlands Ave,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,40.6526006,-73.9497211,Monday,February
2018-02-26,Georgia,Lagrange,1000 block of Whitesville Rd,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,43.1268715,0.3513345,Monday,February
2018-02-27,Florida,Gainesville,1100 block on NE 16th Ave,2.0,0.0,0.0,0.0,1.0,,2018,,,,2.0,29.6519684,-82.3249846,Tuesday,February
2018-02-28,Louisiana,Winnsboro,2100 block of Roland St,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,32.9573449,-95.2902224,Wednesday,February
2018-02-28,Tennessee,Memphis,National St and Fairoaks Ave,2.0,0.0,0.0,0.0,1.0,,2018,,,,2.0,35.1460249,-90.0517638,Wednesday,February
2018-03-01,North Carolina,Laurinburg,3rd St,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,34.7740495,-79.4628248,Thursday,March
2018-03-01,Texas,Houston,3900 block of Scott St,1.0,1.0,0.0,0.0,1.0,,2018,,,,2.0,29.7589382,-95.3676974,Thursday,March
2018-03-02,North Carolina,Greensboro,1373 Lees Chapel Rd,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,36.0726355,-79.7919754,Friday,March
2018-03-02,Colorado,Arboles,,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,37.02328,-107.42349232352942,Friday,March
2018-03-03,Ohio,Hayesville,,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,41.2640523,-92.2491537,Saturday,March
2018-03-03,Missouri,Saint Louis,I-70 and Union Blvd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.6280278,-90.1910154,Saturday,March
2018-03-04,Louisiana,Rayne,900 block of Reynolds Street,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,30.234925,-92.2684617,Sunday,March
2018-03-04,Louisiana,Shreveport,3410 Jackson Street,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.4707862,-93.7559378,Sunday,March
2018-03-04,Georgia,Cartersville,Herring St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,34.1652304,-84.7997613,Sunday,March
2018-03-07,Alabama,Huntsville,615 Murray Rd,0.0,1.0,0.0,0.0,3.0,,2018,,,,1.0,34.729847,-86.5859011,Wednesday,March
2018-03-07,Georgia,Decatur,,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.8454163,-88.9524151,Wednesday,March
2018-03-07,Georgia,Lithonia,6250 Hillandale Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.7123305,-84.1051939,Wednesday,March
2018-03-07,Tennessee,Memphis,Bonita Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,35.1460249,-90.0517638,Wednesday,March
2018-03-08,Kansas,Lawrence,600 block of North St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.9719384,-95.2359496,Thursday,March
2018-03-08,Missouri,Columbia,N Gregory Dr and N Teresa Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,4.099917,-72.9088133,Thursday,March
2018-03-08,Alabama,Selma,Marie Foster Dr,1.0,0.0,0.0,0.0,3.0,,2018,,,,1.0,32.4078632,-87.0207473,Thursday,March
2018-03-09,North Carolina,Fayetteville,848 Tamarack Dr,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,36.0625843,-94.1574328,Friday,March
2018-03-10,Alabama,Ozark,King Ave,1.0,0.0,1.0,0.0,0.0,,2018,,,,2.0,36.6467816,-92.4575198,Saturday,March
2018-03-10,Wisconsin,Milwaukee,4500 block of N 38th St,0.0,1.0,0.0,0.0,2.0,,2018,,,,1.0,43.0349931,-87.922497,Saturday,March
2018-03-10,Texas,Amarillo,2900 block of Wichita Ave,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,35.2072185,-101.833824,Saturday,March
2018-03-10,Illinois,Chicago,3200 block of W Fulton Blvd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.8755616,-87.6244212,Saturday,March
2018-03-10,California,Fresno,McKinley and Marks,1.0,1.0,0.0,0.0,0.0,,2018,,,,2.0,36.7295295,-119.70886126075588,Saturday,March
2018-03-10,Florida,Ocala,FR 88,0.0,2.0,0.0,1.0,0.0,,2018,,,,3.0,29.1871986,-82.1400923,Saturday,March
2018-03-12,Ohio,Cleveland,E 37th St and Capers Ave,2.0,0.0,0.0,0.0,2.0,,2018,,,,2.0,41.4996574,-81.6936772,Monday,March
2018-03-12,Missouri,Cape Girardeau,50 Green Acres Dr,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,37.3034933,-89.5230357,Monday,March
2018-03-12,Alabama,Huntsville,2120 Sparkman Dr NW,1.0,1.0,0.0,0.0,0.0,,2018,,,,2.0,34.729847,-86.5859011,Monday,March
2018-03-12,Louisiana,Lake Providence,300 Church Street,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,32.8042966,-91.170109,Monday,March
2018-03-12,Alabama,Mobile,8070 Domain St,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,30.6867339,-88.0848929,Monday,March
2018-03-13,Washington,Spanaway,5707 209th St E,0.0,3.0,0.0,1.0,0.0,,2018,,,,4.0,47.0979462,-122.4243422,Tuesday,March
2018-03-14,New York,Brooklyn,345 Thatford Ave,0.0,3.0,0.0,1.0,0.0,,2018,,,,4.0,40.6526006,-73.9497211,Wednesday,March
2018-03-14,South Carolina,Charleston,586 Rutledge Ave,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,32.7884363,-79.9399309,Wednesday,March
2018-03-15,Georgia,Atlanta,600 block of Charlotte Pl,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,33.7489924,-84.3902644,Thursday,March
2018-03-15,Texas,Houston,6030 Dashwood Dr,3.0,0.0,0.0,0.0,0.0,,2018,,,,3.0,29.7589382,-95.3676974,Thursday,March
2018-03-16,Texas,Big Spring,1711 S Gregg St,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,32.250398,-101.4787356,Friday,March
2018-03-17,West Virginia,Martinsburg,Albert St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.4562528,-77.9639604,Saturday,March
2018-03-17,Louisiana,Shreveport,Linwood Avenue,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.4707862,-93.7559378,Saturday,March
2018-03-17,California,Hercules,I-80 and Willow Ave,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,38.0171441,-122.2885808,Saturday,March
2018-03-17,Georgia,Eatonton,222 Milledgeville Rd,4.0,0.0,0.0,2.0,0.0,,2018,,,,6.0,33.3267128,-83.388485,Saturday,March
2018-03-18,Wisconsin,Sparta,Williams Ln,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,37.08114525,22.42486178272022,Sunday,March
2018-03-18,Maryland,Bowie,2100 block of Woodvale Ln,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.4198886,-94.4479626,Sunday,March
2018-03-21,Texas,Martinsville,TX 7,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,36.6915262,-79.8725386,Wednesday,March
2018-03-21,Michigan,Warren,13303 Charlotte Ave,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.8119602,-79.2654452,Wednesday,March
2018-03-21,Georgia,Hull,Maplewood Ln,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,53.7435722,-0.3394758,Wednesday,March
2018-03-21,Kentucky,Burlington,5900 block of Peoples Ln,0.0,2.0,0.0,0.0,0.0,,2018,,,,2.0,44.4761601,-73.212906,Wednesday,March
2018-03-22,Texas,Temple,306 S 25th St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,31.098207,-97.3427847,Thursday,March
2018-03-23,Michigan,Detroit,11511 Plymouth Rd,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,42.3315509,-83.0466403,Friday,March
2018-03-24,Louisiana,Jennings,2074 Jeff Davis Academy Rd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.9957749,-85.6359201,Saturday,March
2018-03-25,Texas,Houston,Freeport St and Alderson St,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,29.7589382,-95.3676974,Sunday,March
2018-03-25,Ohio,Cleveland,Mannering Rd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.4996574,-81.6936772,Sunday,March
2018-03-25,Alaska,Barrow (Utqiagvik),,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,71.2905556,-156.788611,Sunday,March
2018-03-29,Missouri,Florissant,1415 East Duchesne,0.0,2.0,0.0,1.0,0.0,,2018,,,,3.0,38.7919683,-90.3227803,Thursday,March
2018-03-29,Indiana,Indianapolis,3500 block of N Wittfield St,1.0,1.0,0.0,0.0,2.0,,2018,,,,2.0,39.7683331,-86.1583502,Thursday,March
2018-03-31,Missouri,Saint Louis,3100 block of California Ave,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,38.6280278,-90.1910154,Saturday,March
2018-03-31,Florida,Miami,NW 65th St and NW 13th Ct,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,25.7741728,-80.19362,Saturday,March
2018-04-01,Pennsylvania,Philadelphia,2100 block of S Alden St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.9527237,-75.1635262,Sunday,April
2018-04-01,Maryland,Randallstown,50 block of Cinnamon Cir,3.0,0.0,0.0,0.0,1.0,,2018,,,,3.0,39.36909865,-76.79584212721417,Sunday,April
